"","Yr","WofY","AllVisits","RespFeverILI","pctRespFeverILI","Week","WeekEnding","Syn2","Syn3","pctSyn2","pctSyn3","fit","lwr","upr"
"1",2004,1,1054,212,0.20113852,1,"03/01/2004",90,412,0.085388994,0.390891841,0.009182311586149,0.00711241713305842,0.0112522060392396
"2",2004,2,2014,317,0.157398213,2,"10/01/2004",60,257,0.02979146,0.127606753,0.00929241509449151,0.00720360702786391,0.0113812231611191
"3",2004,3,2037,243,0.119293078,3,"17/01/2004",46,197,0.022582229,0.096710849,0.00945025188342752,0.00735663256428027,0.0115438712025748
"4",2004,4,1991,257,0.129080864,4,"24/01/2004",48,209,0.024108488,0.104972376,0.00965360212761814,0.00756944408233797,0.0117377601728983
"5",2004,5,1956,290,0.148261759,5,"31/01/2004",47,243,0.02402863,0.124233129,0.00989958292178633,0.00783907434690858,0.0119600914966641
"6",2004,6,2033,271,0.133300541,6,"07/02/2004",44,227,0.021642892,0.111657649,0.0101846903199675,0.00816168300546835,0.0122076976344667
"7",2004,7,2117,327,0.154463864,7,"14/02/2004",35,292,0.016532829,0.137931034,0.0105048504309321,0.00853261174904867,0.0124770891128155
"8",2004,8,2114,366,0.173131504,8,"21/02/2004",54,312,0.025543992,0.147587512,0.0108554788246929,0.00894644925297353,0.0127645083964123
"9",2004,9,2229,362,0.162404666,9,"28/02/2004",60,302,0.0269179,0.135486765,0.0112315473838181,0.00939710468664774,0.0130659900809884
"10",2004,10,2291,411,0.179397643,10,"06/03/2004",49,362,0.02138804,0.158009603,0.011627657624705,0.0098778882996253,0.0133774269497848
"11",2004,11,2313,395,0.170773887,11,"13/03/2004",61,334,0.026372676,0.144401211,0.0120381194196282,0.0103815973289789,0.0136946415102775
"12",2004,12,2205,337,0.152834467,12,"20/03/2004",38,299,0.01723356,0.135600907,0.012457033971614,0.0109006052727126,0.0140134626705154
"13",2004,13,2264,366,0.161660777,13,"27/03/2004",58,308,0.025618375,0.136042403,0.0128783798321837,0.0114269525415479,0.0143298071228194
"14",2004,14,2967,427,0.143916414,14,"03/04/2004",74,353,0.024941018,0.118975396,0.0132961007076315,0.0119524368805879,0.0146397645346751
"15",2004,15,3861,592,0.153328153,15,"10/04/2004",87,505,0.022533023,0.130795131,0.0137041937734244,0.0124687032631389,0.0149396842837098
"16",2004,16,3754,527,0.140383591,16,"17/04/2004",91,436,0.02424081,0.116142781,0.0140967972089005,0.0129673362139171,0.0152262582038839
"17",2004,17,3729,491,0.131670689,17,"24/04/2004",75,416,0.020112631,0.111558058,0.0144682756758148,0.0134399644091821,0.0154965869424474
"18",2004,18,3606,419,0.11619523,18,"01/05/2004",62,357,0.017193566,0.099001664,0.0148133024942597,0.0138783998845941,0.0157482051039254
"19",2004,19,3525,384,0.10893617,19,"08/05/2004",58,326,0.016453901,0.09248227,0.0151269373176534,0.0142748517787217,0.0159790228565851
"20",2004,20,3737,433,0.115868344,20,"15/05/2004",71,362,0.018999197,0.096869146,0.015404698174117,0.0146222666258491,0.0161871297223849
"21",2004,21,3758,385,0.102448111,21,"22/05/2004",63,322,0.016764236,0.085683874,0.0156426268237177,0.0149148225933167,0.0163704310541186
"22",2004,22,3760,420,0.111702128,22,"29/05/2004",73,347,0.019414894,0.092287234,0.0158373464785196,0.0151485033591057,0.0165261895979335
"23",2004,23,3587,387,0.107889601,23,"05/06/2004",71,316,0.019793699,0.088095902,0.0159861110437564,0.0153215224371692,0.0166506996503435
"24",2004,24,3739,370,0.09895694,24,"12/06/2004",63,307,0.016849425,0.082107515,0.0160868451620758,0.0154343222581249,0.0167393680660268
"25",2004,25,3652,317,0.086801752,25,"19/06/2004",60,257,0.016429354,0.070372399,0.0161381744769241,0.0154890824010699,0.0167872665527783
"26",2004,26,3617,334,0.09234172,26,"26/06/2004",61,273,0.016864805,0.075476915,0.0161394456737585,0.0154889805713024,0.0167899107762146
"27",2004,27,3679,373,0.101386246,27,"03/07/2004",74,299,0.020114161,0.081272085,0.016090736006845,0.0154375361009097,0.0167439359127802
"28",2004,28,3580,313,0.087430168,28,"10/07/2004",52,261,0.01452514,0.072905028,0.0159928521727167,0.0153381973497589,0.0166475069956746
"29",2004,29,3815,320,0.083879423,29,"17/07/2004",73,248,0.019134993,0.065006553,0.0158473185467225,0.0151941433384111,0.0165004937550339
"30",2004,30,3886,335,0.086206897,30,"24/07/2004",67,268,0.017241379,0.068965517,0.0156563549542012,0.0150081968166611,0.0163045130917412
"31",2004,31,3802,322,0.084692267,31,"31/07/2004",57,265,0.014992109,0.069700158,0.0154228443004297,0.0147827648261621,0.0160629237746974
"32",2004,32,3888,337,0.086676955,32,"07/08/2004",67,270,0.01723251,0.069444444,0.0151502905313728,0.0145197735271774,0.0157808075355682
"33",2004,33,3647,288,0.078969016,33,"14/08/2004",58,230,0.015903482,0.063065533,0.01484276753826,0.0142206233247423,0.0154649117517778
"34",2004,34,3772,291,0.077147402,34,"21/08/2004",54,237,0.014316013,0.062831389,0.0145048597510784,0.0138862575166309,0.0151234619855259
"35",2004,35,3584,259,0.072265625,35,"28/08/2004",52,206,0.014508929,0.057477679,0.01414159528726,0.0135174888633587,0.0147657017111613
"36",2004,36,3637,281,0.077261479,36,"04/09/2004",54,227,0.014847402,0.062414078,0.0137583726304073,0.0131156752441852,0.0144010700166294
"37",2004,37,3883,288,0.074169457,37,"11/09/2004",45,243,0.011588978,0.062580479,0.0133608819082459,0.0126835895531913,0.0140381742633005
"38",2004,38,3808,361,0.09480042,38,"18/09/2004",59,302,0.015493697,0.079306723,0.0129550219177494,0.0122260387672231,0.0136840050682756
"39",2004,39,3976,396,0.099597586,39,"25/09/2004",68,328,0.017102616,0.08249497,0.0125468141073964,0.0117498469374116,0.0133437812773811
"40",2004,40,3774,411,0.108903021,40,"02/10/2004",58,355,0.015368309,0.094064653,0.0121423147708927,0.0112632701848424,0.0130213593569431
"41",2004,41,3661,393,0.107347719,41,"09/10/2004",53,340,0.014476919,0.0928708,0.0117475267327716,0.010775242725508,0.0127198107400352
"42",2004,42,3632,416,0.114537445,42,"16/10/2004",64,352,0.017621145,0.0969163,0.0113683118136947,0.0102947725899735,0.0124418510374159
"43",2004,43,3562,428,0.120157215,43,"23/10/2004",58,370,0.016282987,0.103874228,0.0110103053519071,0.00983056598459076,0.0121900447192235
"44",2004,44,3625,415,0.114482759,44,"30/10/2004",67,349,0.018482759,0.096275862,0.0106788340273164,0.00939082165676605,0.0119668463978667
"45",2004,45,3614,455,0.125899281,45,"06/11/2004",67,388,0.018539015,0.107360266,0.0103788381865044,0.00898311777775771,0.0117745585952511
"46",2004,46,3533,448,0.126804416,46,"13/11/2004",62,386,0.017548825,0.10925559,0.01011479980135,0.00861433987804453,0.0116152597246554
"47",2004,47,3630,514,0.141597796,47,"20/11/2004",59,455,0.016253444,0.125344353,0.00989067711178602,0.00829062453406761,0.0114907296895044
"48",2004,48,3510,486,0.138461538,48,"27/11/2004",66,419,0.018803419,0.119373219,0.00970984690574824,0.00801730924795996,0.0114023845635365
"49",2004,49,3426,494,0.144191477,49,"04/12/2004",65,431,0.018972563,0.125802685,0.00957505527800318,0.00779888647652241,0.0113512240794839
