Yr,WofY,AllVisits,RespFeverILI,pctRespFeverILI,Week,WeekEnding,Syn2,Syn3,pctSyn2,pctSyn3
2004,1,1054,212,0.20113852,1,03/01/2004,90,412,0.085388994,0.390891841
2004,2,2014,317,0.157398213,2,10/01/2004,60,257,0.02979146,0.127606753
2004,3,2037,243,0.119293078,3,17/01/2004,46,197,0.022582229,0.096710849
2004,4,1991,257,0.129080864,4,24/01/2004,48,209,0.024108488,0.104972376
2004,5,1956,290,0.148261759,5,31/01/2004,47,243,0.02402863,0.124233129
2004,6,2033,271,0.133300541,6,07/02/2004,44,227,0.021642892,0.111657649
2004,7,2117,327,0.154463864,7,14/02/2004,35,292,0.016532829,0.137931034
2004,8,2114,366,0.173131504,8,21/02/2004,54,312,0.025543992,0.147587512
2004,9,2229,362,0.162404666,9,28/02/2004,60,302,0.0269179,0.135486765
2004,10,2291,411,0.179397643,10,06/03/2004,49,362,0.02138804,0.158009603
2004,11,2313,395,0.170773887,11,13/03/2004,61,334,0.026372676,0.144401211
2004,12,2205,337,0.152834467,12,20/03/2004,38,299,0.01723356,0.135600907
2004,13,2264,366,0.161660777,13,27/03/2004,58,308,0.025618375,0.136042403
2004,14,2967,427,0.143916414,14,03/04/2004,74,353,0.024941018,0.118975396
2004,15,3861,592,0.153328153,15,10/04/2004,87,505,0.022533023,0.130795131
2004,16,3754,527,0.140383591,16,17/04/2004,91,436,0.02424081,0.116142781
2004,17,3729,491,0.131670689,17,24/04/2004,75,416,0.020112631,0.111558058
2004,18,3606,419,0.11619523,18,01/05/2004,62,357,0.017193566,0.099001664
2004,19,3525,384,0.10893617,19,08/05/2004,58,326,0.016453901,0.09248227
2004,20,3737,433,0.115868344,20,15/05/2004,71,362,0.018999197,0.096869146
2004,21,3758,385,0.102448111,21,22/05/2004,63,322,0.016764236,0.085683874
2004,22,3760,420,0.111702128,22,29/05/2004,73,347,0.019414894,0.092287234
2004,23,3587,387,0.107889601,23,05/06/2004,71,316,0.019793699,0.088095902
2004,24,3739,370,0.09895694,24,12/06/2004,63,307,0.016849425,0.082107515
2004,25,3652,317,0.086801752,25,19/06/2004,60,257,0.016429354,0.070372399
2004,26,3617,334,0.09234172,26,26/06/2004,61,273,0.016864805,0.075476915
2004,27,3679,373,0.101386246,27,03/07/2004,74,299,0.020114161,0.081272085
2004,28,3580,313,0.087430168,28,10/07/2004,52,261,0.01452514,0.072905028
2004,29,3815,320,0.083879423,29,17/07/2004,73,248,0.019134993,0.065006553
2004,30,3886,335,0.086206897,30,24/07/2004,67,268,0.017241379,0.068965517
2004,31,3802,322,0.084692267,31,31/07/2004,57,265,0.014992109,0.069700158
2004,32,3888,337,0.086676955,32,07/08/2004,67,270,0.01723251,0.069444444
2004,33,3647,288,0.078969016,33,14/08/2004,58,230,0.015903482,0.063065533
2004,34,3772,291,0.077147402,34,21/08/2004,54,237,0.014316013,0.062831389
2004,35,3584,259,0.072265625,35,28/08/2004,52,206,0.014508929,0.057477679
2004,36,3637,281,0.077261479,36,04/09/2004,54,227,0.014847402,0.062414078
2004,37,3883,288,0.074169457,37,11/09/2004,45,243,0.011588978,0.062580479
2004,38,3808,361,0.09480042,38,18/09/2004,59,302,0.015493697,0.079306723
2004,39,3976,396,0.099597586,39,25/09/2004,68,328,0.017102616,0.08249497
2004,40,3774,411,0.108903021,40,02/10/2004,58,355,0.015368309,0.094064653
2004,41,3661,393,0.107347719,41,09/10/2004,53,340,0.014476919,0.0928708
2004,42,3632,416,0.114537445,42,16/10/2004,64,352,0.017621145,0.0969163
2004,43,3562,428,0.120157215,43,23/10/2004,58,370,0.016282987,0.103874228
2004,44,3625,415,0.114482759,44,30/10/2004,67,349,0.018482759,0.096275862
2004,45,3614,455,0.125899281,45,06/11/2004,67,388,0.018539015,0.107360266
2004,46,3533,448,0.126804416,46,13/11/2004,62,386,0.017548825,0.10925559
2004,47,3630,514,0.141597796,47,20/11/2004,59,455,0.016253444,0.125344353
2004,48,3510,486,0.138461538,48,27/11/2004,66,419,0.018803419,0.119373219
2004,49,3426,494,0.144191477,49,04/12/2004,65,431,0.018972563,0.125802685
2004,50,3506,444,0.126640046,50,11/12/2004,55,389,0.015687393,0.110952653
2004,51,3260,449,0.137730061,51,18/12/2004,51,398,0.015644172,0.12208589
2004,52,3113,469,0.150658529,52,25/12/2004,64,405,0.020558946,0.130099582
2005,1,731,98,0.134062927,53,01/01/2005,81,570,0.110807114,0.779753762
2005,2,4734,579,0.122306717,54,08/01/2005,85,494,0.017955218,0.1043515
2005,3,4408,532,0.120689655,55,15/01/2005,73,457,0.016560799,0.103675136
2005,4,4171,566,0.135698873,56,22/01/2005,88,478,0.021098058,0.114600815
2005,5,4341,627,0.144436766,57,29/01/2005,88,539,0.020271827,0.124164939
2005,6,4998,932,0.18647459,58,05/02/2005,166,764,0.033213285,0.152861144
2005,7,5100,979,0.191960784,59,12/02/2005,164,811,0.032156863,0.159019608
2005,8,5157,1048,0.203218926,60,19/02/2005,163,884,0.031607524,0.171417491
2005,9,4975,956,0.192160804,61,26/02/2005,122,831,0.024522613,0.167035176
2005,10,4706,900,0.191245219,62,05/03/2005,155,744,0.032936677,0.158096048
2005,11,4787,809,0.168999373,63,12/03/2005,115,693,0.024023397,0.144767078
2005,12,4593,767,0.166993251,64,19/03/2005,94,672,0.020465926,0.146309602
2005,13,4918,788,0.160227735,65,26/03/2005,98,688,0.0199268,0.139894266
2005,14,4736,570,0.12035473,66,02/04/2005,82,487,0.017314189,0.102829392
2005,15,4750,565,0.118947368,67,09/04/2005,74,490,0.015578947,0.103157895
2005,16,4968,614,0.123590982,68,16/04/2005,89,524,0.017914654,0.10547504
2005,17,4912,581,0.118281759,69,23/04/2005,73,509,0.014861564,0.103623779
2005,18,4556,563,0.12357331,70,30/04/2005,46,517,0.010096576,0.113476734
2005,19,4815,511,0.106126687,71,07/05/2005,50,459,0.010384216,0.095327103
2005,20,4948,589,0.119037995,72,14/05/2005,75,515,0.015157639,0.104082458
2005,21,4823,568,0.117769023,73,21/05/2005,75,492,0.015550487,0.102011196
2005,22,4928,569,0.115462662,74,28/05/2005,85,483,0.017248377,0.098011364
2005,23,4870,429,0.088090349,75,04/06/2005,70,354,0.014373717,0.072689938
2005,24,4879,356,0.072965772,76,11/06/2005,59,297,0.012092642,0.06087313
2005,25,4787,423,0.08836432,77,18/06/2005,66,357,0.013787341,0.074576979
2005,26,4684,325,0.069385141,78,25/06/2005,57,268,0.012169086,0.057216055
2005,27,5040,416,0.082539683,79,02/07/2005,81,335,0.016071429,0.066468254
2005,28,5049,455,0.090116855,80,09/07/2005,89,366,0.017627253,0.072489602
2005,29,5043,429,0.085068412,81,16/07/2005,70,356,0.013880627,0.070592901
2005,30,5212,487,0.093438219,82,23/07/2005,77,410,0.014773599,0.07866462
2005,31,4994,402,0.080496596,83,30/07/2005,64,338,0.012815378,0.067681217
2005,32,5087,435,0.08551209,84,06/08/2005,83,351,0.0163161,0.06899941
2005,33,5211,409,0.078487814,85,13/08/2005,88,320,0.016887354,0.061408559
2005,34,4716,363,0.07697201,86,20/08/2005,72,289,0.015267176,0.061280746
2005,35,4753,344,0.072375342,87,27/08/2005,72,272,0.015148327,0.057227015
2005,36,6475,484,0.074749035,88,03/09/2005,82,402,0.012664093,0.062084942
2005,37,6671,584,0.087543097,89,10/09/2005,103,482,0.015439964,0.072253036
